Symbol,Industry,ISIN Code,Indices
CRISIL,Financial Services,INE007A01025,"NIFTY 500, NIFTY MIDCAP 150"
CAMPUS,Consumer Durables,INE278Y01022,"NIFTY 500, NIFTY SMALLCAP 250"
CANFINHOME,Financial Services,INE477A01020,"NIFTY 500, NIFTY SMALLCAP 250"
CANBK,Financial Services,INE476A01022,"NIFTY NEXT 50, NIFTY 100, NIFTY 200, NIFTY 500, NIFTY BANK, NIFTY PSU BANK"
CAPLIPOINT,Healthcare,INE475E01026,"NIFTY 500, NIFTY SMALLCAP 250"
CGCL,Financial Services,INE180C01042,"NIFTY 500, NIFTY SMALLCAP 250"
CARBORUNIV,Capital Goods,INE120A01034,"NIFTY 500, NIFTY SMALLCAP 250"
CASTROLIND,Oil Gas & Consumable Fuels,INE172A01027,"NIFTY 500, NIFTY SMALLCAP 250, NIFTY ENERGY"
CEATLTD,Automobile and Auto Components,INE482A01020,"NIFTY 500, NIFTY SMALLCAP 250"
CENTRALBK,Financial Services,INE483A01010,"NIFTY 500, NIFTY SMALLCAP 250, NIFTY PSU BANK"
CDSL,Financial Services,INE736A01011,"NIFTY 500, NIFTY SMALLCAP 250"
CENTURYPLY,Consumer Durables,INE348B01021,"NIFTY 500, NIFTY SMALLCAP 250"
CERA,Consumer Durables,INE739E01017,"NIFTY 500, NIFTY SMALLCAP 250"
CHALET,Consumer Services,INE427F01016,"NIFTY 500, NIFTY SMALLCAP 250"
CHAMBLFERT,Chemicals,INE085A01013,"NIFTY 500, NIFTY SMALLCAP 250"
CHENNPETRO,Oil Gas & Consumable Fuels,INE178A01016,"NIFTY 500, NIFTY SMALLCAP 250"
CHOICEIN,Financial Services,INE102B01014,"NIFTY 500, NIFTY SMALLCAP 250"
CHOLAHLDNG,Financial Services,INE149A01033,"NIFTY 500, NIFTY SMALLCAP 250"
CHOLAFIN,Financial Services,INE121A01024,"NIFTY NEXT 50, NIFTY 100, NIFTY 200, NIFTY 500"
CIPLA,Healthcare,INE059A01026,"NIFTY 50, NIFTY 100, NIFTY 200, NIFTY 500, NIFTY PHARMA"
CUB,Financial Services,INE491A01021,"NIFTY 500, NIFTY SMALLCAP 250"
CLEAN,Chemicals,INE227W01023,"NIFTY 500, NIFTY SMALLCAP 250"
COALINDIA,Oil Gas & Consumable Fuels,INE522F01014,"NIFTY 50, NIFTY 100, NIFTY 200, NIFTY 500, NIFTY ENERGY"
COCHINSHIP,Capital Goods,INE704P01025,"NIFTY 200, NIFTY 500, NIFTY MIDCAP 150"
COFORGE,Information Technology,INE591G01025,"NIFTY 200, NIFTY 500, NIFTY MIDCAP 150, NIFTY IT"
COHANCE,Healthcare,INE03QK01018,"NIFTY 500, NIFTY SMALLCAP 250"
COLPAL,Fast Moving Consumer Goods,INE259A01022,"NIFTY 200, NIFTY 500, NIFTY MIDCAP 150, NIFTY FMCG"
CAMS,Financial Services,INE596I01012,"NIFTY 500, NIFTY SMALLCAP 250"
CONCORDBIO,Healthcare,INE338H01029,"NIFTY 500, NIFTY SMALLCAP 250"
CONCOR,Services,INE111A01025,"NIFTY 200, NIFTY 500, NIFTY MIDCAP 150"
COROMANDEL,Chemicals,INE169A01031,"NIFTY 200, NIFTY 500, NIFTY MIDCAP 150"
CRAFTSMAN,Automobile and Auto Components,INE00LO01017,"NIFTY 500, NIFTY SMALLCAP 250"
CREDITACC,Financial Services,INE741K01010,"NIFTY 500, NIFTY SMALLCAP 250"
CROMPTON,Consumer Durables,INE299U01018,"NIFTY 500, NIFTY SMALLCAP 250"
CUMMINSIND,Capital Goods,INE298A01020,"NIFTY 200, NIFTY 500, NIFTY MIDCAP 150"
CYIENT,Information Technology,INE136B01020,"NIFTY 500, NIFTY SMALLCAP 250"
DCMSHRIRAM,Diversified,INE499A01024,"NIFTY 500, NIFTY SMALLCAP 250"
DLF,Realty,INE271C01023,"NIFTY NEXT 50, NIFTY 100, NIFTY 200, NIFTY 500, NIFTY REALTY"
